_id,Task ID,Task,Task Type,Incumbents Responding,Date,Domain Source
o_tasks/33a799eb-d892-4056-89f2-1ab297ccbe05,6662,"Collaborate with other teachers and administrators in the development, evaluation, and revision of secondary school programs.",Core,119,08/2018,Incumbent
o_tasks/ae0a3cce-cdd7-45d5-ad7d-681b060b4307,6663,Prepare reports on students and activities as required by administration.,Core,118,08/2018,Incumbent
o_tasks/821b22a2-371f-4a08-acd5-caafe81ec912,6653,Prepare for assigned classes and show written evidence of preparation upon request of immediate supervisors.,Core,118,08/2018,Incumbent
o_tasks/d26bed9b-17d6-4959-a2cd-3f81eeb9344c,6665,"Plan and supervise class projects, field trips, visits by guest speakers, or other experiential activities, and guide students in learning from those activities.",Core,119,08/2018,Incumbent
o_tasks/d9a481e3-eac5-497f-a8e8-98b2730377b1,6660,"Attend professional meetings, educational conferences, and teacher training workshops to maintain and improve professional competence.",Core,119,08/2018,Incumbent
o_tasks/8a86b214-e9dc-4a96-8970-981438c3c2f1,6669,"Perform administrative duties, such as assisting in school libraries, hall and cafeteria monitoring, and bus loading and unloading.",Core,118,08/2018,Incumbent
o_tasks/6ccfa5f0-b75e-4e79-9e3b-43da4a9a7950,6668,"Attend staff meetings and serve on committees, as required.",Core,118,08/2018,Incumbent
o_tasks/f0f28418-687a-4246-afe7-d4cd43b0389b,6664,"Select, store, order, issue, and inventory classroom equipment, materials, and supplies.",Core,118,08/2018,Incumbent
o_tasks/c8e792ae-60ff-4d85-b723-85c4f9e92417,6667,"Sponsor extracurricular activities, such as clubs, student organizations, and academic contests.",Core,119,08/2018,Incumbent
o_tasks/3d5ecce4-0ff3-4a20-8367-c040a72c4979,6666,Administer standardized ability and achievement tests and interpret results to determine students' strengths and areas of need.,Core,119,08/2018,Incumbent
o_tasks/3f0ba0cb-969e-480b-8d08-8e51361f489e,6670,"Provide disabled students with assistive devices, supportive technology, and assistance accessing facilities such as restrooms.",Supplemental,119,08/2018,Incumbent
o_tasks/11da77d5-c18b-43b0-8c8e-b9ddc00ea1ef,6673,"Instruct students individually and in groups, using various teaching methods, such as lectures, discussions, and demonstrations.",Core,115,08/2018,Incumbent
o_tasks/163ef3ee-8c0e-49f2-8e81-29b2a5a73e7b,6674,Establish and enforce rules for behavior and procedures for maintaining order among students.,Core,114,08/2018,Incumbent
o_tasks/ea23c503-e26b-4623-ad81-3a63b741caba,6675,"Observe and evaluate students' performance, behavior, social development, and physical health.",Core,116,08/2018,Incumbent
o_tasks/89cffaa8-3607-4a7c-8f13-6cfd751b4bd1,6687,"Prepare objectives and outlines for courses of study, following curriculum guidelines or requirements of states and schools.",Core,115,08/2018,Incumbent
o_tasks/af0f4a5f-eefe-47dd-b4d8-bd5575df191c,6677,"Plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate.",Core,115,08/2018,Incumbent
o_tasks/4eaea37a-fced-4d0c-b7b1-c6b83606cb74,6682,"Establish clear objectives for all lessons, units, and projects and communicate those objectives to students.",Core,115,08/2018,Incumbent
o_tasks/1ff5a16d-21f3-42eb-a04b-67f048c211c4,6672,"Maintain accurate and complete student records as required by law, district policy, and administrative regulations.",Core,114,08/2018,Incumbent
o_tasks/61ebf372-4b26-4c2b-b9f0-0887088d80dd,6676,Instruct and monitor students in the use and care of equipment and materials to prevent injury and damage.,Core,116,08/2018,Incumbent
o_tasks/d11253e6-1fcc-496b-964d-f31dd8d56d8d,6671,Prepare materials and classroom for class activities.,Core,113,08/2018,Incumbent
o_tasks/5085816a-69a9-4bdc-85ee-3ab29f3cb3ab,6680,Assign and grade class work and homework.,Core,116,08/2018,Incumbent
o_tasks/b6e618a1-142c-4a67-b962-6d1fab6c71bf,6686,"Confer with parents or guardians, other teachers, counselors, and administrators to resolve students' behavioral and academic problems.",Core,115,08/2018,Incumbent
o_tasks/b7cf62b7-ede0-42a4-a239-a35dcf7a3f31,6681,"Instruct students in the knowledge and skills required in a specific occupation or occupational field, using a systematic plan of lectures, discussions, audio-visual presentations, and laboratory, shop, and field studies.",Core,112,08/2018,Incumbent
o_tasks/36d78163-6931-4fec-a0e2-75181d146e64,6683,"Use computers, audio-visual aids, and other equipment and materials to supplement presentations.",Core,115,08/2018,Incumbent
o_tasks/419859ff-69aa-4f80-bb71-c046e394f0c3,6678,"Prepare, administer, and grade tests and assignments to evaluate students' progress.",Core,116,08/2018,Incumbent
o_tasks/4cfbc5b4-bb58-4c96-9753-007f5bb61d02,6679,Enforce all administration policies and rules governing students.,Core,112,08/2018,Incumbent
o_tasks/2a7c1cad-53c9-4349-9344-1760643067a2,6685,Prepare students for later grades by encouraging them to explore learning opportunities and to persevere with challenging tasks.,Core,112,08/2018,Incumbent
o_tasks/b1da9ba9-9092-4c36-8796-290f8ce6c927,6684,"Plan and supervise work-experience programs in businesses, industrial shops, and school laboratories.",Core,111,08/2018,Incumbent
o_tasks/98830593-ad94-45bc-a58e-c08d4dc8d1be,6691,Meet with other professionals to discuss individual students' needs and progress.,Core,115,08/2018,Incumbent
o_tasks/044c825a-f341-4701-b7e2-1a5e6f6cb9c8,6688,"Guide and counsel students with adjustment or academic problems, or special academic interests.",Core,113,08/2018,Incumbent
o_tasks/a7545b73-aff9-4459-aabc-3333d2d53719,6703,"Provide disabled students with assistive devices, supportive technology, and assistance accessing facilities, such as restrooms.",Core,116,08/2018,Incumbent
o_tasks/134fc9a4-a59a-41b7-a8b3-ab380eeae004,6695,"Plan and supervise class projects, field trips, visits by guest speakers or other experiential activities, and guide students in learning from those activities.",Core,116,08/2018,Incumbent
o_tasks/a0ea7477-4f02-47f1-b1ac-fff4b7bfdd1e,6699,Place students in jobs or make referrals to job placement services.,Core,115,08/2018,Incumbent
o_tasks/509c2810-2922-4c28-b7f0-009ce4ebb309,6692,Prepare and implement remedial programs for students requiring extra help.,Core,116,08/2018,Incumbent
o_tasks/6ca495b8-5181-43ce-b74b-1b9ac92b643e,6697,"Sponsor extracurricular activities, such as clubs, student organizations, and academic contests.",Core,113,08/2018,Incumbent
o_tasks/954e3788-99e7-4067-9672-3290d71b9c0c,6700,"Confer with other staff members to plan and schedule lessons promoting learning, following approved curricula.",Core,113,08/2018,Incumbent
o_tasks/0e0b5f18-4284-44e7-ac18-a7be8400994e,6696,"Attend professional meetings, educational conferences, and teacher training workshops to maintain and improve professional competence.",Core,112,08/2018,Incumbent
o_tasks/1972344c-d199-409b-8809-4c1e28301fe7,6694,Meet with parents and guardians to discuss their children's progress and to determine priorities for their children and their resource needs.,Core,116,08/2018,Incumbent
o_tasks/05cb6e18-d58b-4a5b-9556-c819ab5def7f,6698,"Collaborate with other teachers and administrators in the development, evaluation, and revision of secondary school programs.",Core,116,08/2018,Incumbent
o_tasks/fcb32235-eb89-4880-b889-e042e635f3cf,6689,"Select, order, store, issue, and inventory classroom equipment, materials, and supplies.",Core,115,08/2018,Incumbent
o_tasks/b57187d0-e8c5-47ca-a50e-9a1bb57c27b5,6690,Keep informed about trends in education and subject matter specialties.,Core,114,08/2018,Incumbent
o_tasks/6e2d4b41-dd82-40b1-bbf1-a0a384258504,6693,Prepare reports on students and activities as required by administration.,Core,116,08/2018,Incumbent
o_tasks/03b05d9c-3cde-4ed0-b532-8c080cd4fce5,6701,"Attend staff meetings and serve on committees, as required.",Core,115,08/2018,Incumbent
o_tasks/17dddcc9-f40f-45ec-ba7f-da415acff46b,6702,"Perform administrative duties, such as assisting in school libraries, hall and cafeteria monitoring, and bus loading and unloading.",Core,112,08/2018,Incumbent
o_tasks/d00c56d1-7ad7-482e-9195-ce6f2fee5385,19069,"Employ special educational strategies or techniques during instruction to improve the development of sensory- and perceptual-motor skills, language, cognition, or memory.",Core,63,08/2019,Incumbent
o_tasks/dc497c43-b1ff-4d08-8123-5d5cce23d127,19085,"Teach socially acceptable behavior, employing techniques such as behavior modification or positive reinforcement.",Core,65,08/2019,Incumbent
o_tasks/f90ba48d-b700-417e-84a0-88afc99797f3,19065,"Communicate nonverbally with children to provide them with comfort, encouragement, or positive reinforcement.",Core,63,08/2019,Incumbent
o_tasks/04d3b8a3-be2c-447d-8959-5b1255c62305,19084,"Teach basic skills, such as color, shape, number and letter recognition, personal hygiene, or social skills, to preschool students with special needs.",Core,63,08/2019,Incumbent
o_tasks/89b2c52f-9e81-4e4e-8bc2-d91ad7d8810b,19067,"Develop individual educational plans (IEPs) designed to promote students' educational, physical, or social development.",Core,65,08/2019,Incumbent
o_tasks/3e7fdb48-4747-47f1-a168-b09b0999b4ac,19090,"Confer with parents, administrators, testing specialists, social workers, or other professionals to develop individual education plans (IEPs).",Core,63,08/2019,Incumbent
o_tasks/0d25c140-aa93-4b45-b6e0-1b2e4e401dc9,19086,"Teach students personal development skills, such as goal setting, independence, or self-advocacy.",Core,65,08/2019,Incumbent
o_tasks/2f952e53-79bf-4d59-8446-77419f43ff6c,19068,Develop or implement strategies to meet the needs of students with a variety of disabilities.,Core,65,08/2019,Incumbent
o_tasks/1162d3ff-0d72-4389-89b7-fa7b357306b0,19076,"Observe and evaluate students' performance, behavior, social development, and physical health.",Core,65,08/2019,Incumbent
o_tasks/25d168a3-65fd-413c-93db-9a6a8ba87eb7,19073,Instruct and monitor students in the use and care of equipment or materials to prevent injuries and damage.,Core,65,08/2019,Incumbent
o_tasks/cb60707f-cc24-4fd1-bef8-4b89328e940d,19087,"Administer tests to help determine children's developmental levels, needs, or potential.",Core,65,08/2019,Incumbent
o_tasks/d86c8f75-59e2-4316-9677-6df385d616fb,19072,Establish and enforce rules for behavior and procedures for maintaining order among students.,Core,65,08/2019,Incumbent
o_tasks/a90647ca-bd7b-41ee-be6a-7a8474c59748,19064,"Attend to children's basic needs by feeding them, dressing them, or changing their diapers.",Core,65,08/2019,Incumbent
o_tasks/4d82a354-6d73-42d4-a581-23a51e12d35d,19079,"Prepare classrooms with a variety of materials or resources for children to explore, manipulate, or use in learning activities or imaginative play.",Core,65,08/2019,Incumbent
o_tasks/fa34c53c-a975-4d00-a7dd-aa06a7f83539,19075,Monitor teachers or teacher assistants to ensure adherence to special education program requirements.,Core,65,08/2019,Incumbent
o_tasks/ee08d2a2-6832-4eba-90dc-18c29d413adf,19070,Encourage students to explore learning opportunities or persevere with challenging tasks to prepare them for later grades.,Core,63,08/2019,Incumbent
o_tasks/daf81984-c235-4236-be27-a667c327f6aa,19094,"Meet with parents or guardians to discuss their children's progress, advise them on using community resources, or teach skills for dealing with students' impairments.",Core,63,08/2019,Incumbent
o_tasks/0b01c94a-59f1-4728-8003-abeff69881b8,19066,"Confer with parents, guardians, teachers, counselors, or administrators to resolve students' behavioral or academic problems.",Core,65,08/2019,Incumbent
o_tasks/56848b32-4547-48f0-94bc-dca7ae17458f,19093,"Maintain accurate and complete student records as required by laws, district policies, or administrative regulations.",Core,65,08/2019,Incumbent
o_tasks/f2c91958-d7d9-4f19-89ad-642be58af19e,19071,"Establish and communicate clear objectives for all lessons, units, and projects to students, parents, or guardians.",Core,65,08/2019,Incumbent
o_tasks/06eadd2a-57dd-47c3-bfc0-934e59b18890,19074,Modify the general preschool curriculum for special-needs students.,Core,65,08/2019,Incumbent
o_tasks/0da9b0f3-c700-4a8c-8025-3ac37a31f446,19098,"Provide assistive devices, supportive technology, or assistance accessing facilities, such as restrooms.",Core,65,08/2019,Incumbent
o_tasks/7987c5e5-434c-4c99-90fa-bf1d0927bd3a,19077,"Organize and supervise games or other recreational activities to promote physical, mental, or social development.",Core,63,08/2019,Incumbent
o_tasks/17349739-23ea-44e3-b7c5-e5785c2e91da,19080,"Prepare objectives, outlines, or other materials for courses of study, following curriculum guidelines or requirements.",Core,65,08/2019,Incumbent
o_tasks/12ff939a-8b64-47c1-aac3-fdc43367f08f,19088,"Attend professional meetings, educational conferences, or teacher training workshops to maintain or improve professional competence.",Core,65,08/2019,Incumbent
o_tasks/3aba9ed9-0278-4caf-a6e8-64b3da945470,19082,Read books to entire classes or to small groups.,Core,65,08/2019,Incumbent
o_tasks/475eb4fd-39d9-4f1a-8165-861b1c2ef03c,19097,Prepare reports on students and activities as required by administration.,Core,63,08/2019,Incumbent
o_tasks/5bc7a55e-ef90-4ab6-a882-d1f6547e8e37,19063,"Arrange indoor or outdoor space to facilitate creative play, motor-skill activities, or safety.",Core,63,08/2019,Incumbent
o_tasks/da88236c-e2f9-46b3-a5da-911d03d1742b,19095,Organize and display students' work in a manner appropriate for their perceptual skills.,Core,65,08/2019,Incumbent
o_tasks/9fd0c107-ce44-4820-97c1-6d087e1fbe81,19081,"Present information in audio-visual or interactive formats, using computers, television, audio-visual aids, or other equipment, materials, or technologies.",Core,63,08/2019,Incumbent
o_tasks/40797752-f0f8-4f1b-a792-e23c2eb512bd,19089,"Collaborate with other teachers or administrators to develop, evaluate, or revise preschool programs.",Core,65,08/2019,Incumbent
o_tasks/9db3795b-23d3-456a-9949-72370a9a905b,19078,"Plan and supervise experiential learning activities, such as class projects, field trips, or demonstrations.",Core,65,08/2019,Incumbent
o_tasks/03782aad-e9f0-491d-9c65-9d0bd22de818,19096,Prepare assignments for teacher assistants or volunteers.,Core,63,08/2019,Incumbent
o_tasks/9a498e0c-6211-476e-863b-91e74e55bef1,19091,"Control the inventory or distribution of classroom equipment, materials, or supplies.",Core,65,08/2019,Incumbent
o_tasks/7535455c-a0a4-42a7-9617-f6abd61af21d,19092,Coordinate placement of students with special needs into mainstream classes.,Supplemental,63,08/2019,Incumbent
o_tasks/a83b930c-4608-4a46-8a29-ba55c2f7a308,19083,Serve meals or snacks in accordance with nutritional guidelines.,Supplemental,63,08/2019,Incumbent
o_tasks/f34fd14d-a5ec-4f20-9ac7-755e6eecb015,19112,"Instruct special needs students in academic subjects, using a variety of techniques, such as phonetics, multisensory learning, or repetition to reinforce learning and meet students' varying needs.",Core,105,07/2015,Incumbent
o_tasks/cba50460-cdc9-4258-b42a-2a73337385b7,19106,Develop or implement strategies to meet the needs of students with a variety of disabilities.,Core,105,07/2015,Incumbent
o_tasks/afc647f4-ebb4-4c79-89ee-3ed82728ec84,19105,"Develop individual educational plans (IEPs) designed to promote students' educational, physical, or social development.",Core,104,07/2015,Incumbent
o_tasks/fe10709d-6767-4633-9556-f9dcafcbbd25,19102,"Confer with parents, administrators, testing specialists, social workers, or other professionals to develop individual education plans (IEPs).",Core,105,07/2015,Incumbent
o_tasks/6879e2dc-96e8-4b20-a1be-fd9c8666e063,19131,"Maintain accurate and complete student records as required by laws, district policies, or administrative regulations.",Core,103,07/2015,Incumbent
o_tasks/791eecb4-afd0-418d-9a2f-99d7218d4d60,19125,"Teach socially acceptable behavior, employing techniques such as behavior modification or positive reinforcement.",Core,104,07/2015,Incumbent
o_tasks/e31aa496-5e38-487b-b52c-4a0b0cf2e8b1,19110,Establish and enforce rules for behavior and procedures for maintaining order among students.,Core,105,07/2015,Incumbent
o_tasks/dd88b1dc-c53c-404b-a6a4-fa6f671cf828,19116,Modify the general kindergarten or elementary education curriculum for special-needs students.,Core,105,07/2015,Incumbent
o_tasks/a077605a-d89f-4d34-90e9-251a8f830b0c,19103,"Confer with parents, guardians, teachers, counselors, or administrators to resolve students' behavioral or academic problems.",Core,105,07/2015,Incumbent
o_tasks/65750a2d-4a89-4be5-aba2-f1500a3d1b0a,19107,"Employ special educational strategies or techniques during instruction to improve the development of sensory- and perceptual-motor skills, language, cognition, or memory.",Core,105,07/2015,Incumbent
o_tasks/6f92689f-9e05-4be5-953b-c97fe3086588,19132,Monitor teachers or teacher assistants to ensure adherence to special education program requirements.,Core,105,07/2015,Incumbent
o_tasks/1a44ca35-654f-43bd-b436-a7446e453f23,19121,"Prepare classrooms with a variety of materials or resources for children to explore, manipulate, or use in learning activities or imaginative play.",Core,104,07/2015,Incumbent
o_tasks/c68b4f0b-60a5-4584-bbef-f09f76c97fa8,19136,Prepare reports on students and activities as required by administration.,Core,104,07/2015,Incumbent
o_tasks/974dd47f-40b9-409c-b931-a25e6a80a54f,19115,"Meet with parents or guardians to discuss their children's progress, advise them on using community resources, or teach skills for dealing with students' impairments.",Core,105,07/2015,Incumbent
o_tasks/720b23b7-7d94-4533-a4ed-d728d92d769b,19123,"Prepare, administer, or grade tests or assignments to evaluate students' progress.",Core,105,07/2015,Incumbent
o_tasks/ffc019f5-e855-4208-84db-f348a59ce148,19117,"Observe and evaluate students' performance, behavior, social development, and physical health.",Core,104,07/2015,Incumbent
o_tasks/db008370-5db4-41bd-b2c2-e825ff38370e,19109,"Establish and communicate clear objectives for all lessons, units, and projects to students.",Core,105,07/2015,Incumbent
o_tasks/e5a0ef4f-8183-4346-af16-52832860b2ef,19108,Encourage students to explore learning opportunities or persevere with challenging tasks to prepare them for later grades.,Core,104,07/2015,Incumbent
o_tasks/26192b69-27e9-41f7-b481-21c09dd72afa,19137,"Provide assistive devices, supportive technology, or assistance accessing facilities, such as restrooms.",Core,105,07/2015,Incumbent
o_tasks/50f61eb0-a578-40ed-8d61-cca74ad68377,19126,"Teach students personal development skills, such as goal setting, independence, or self-advocacy.",Core,104,07/2015,Incumbent
o_tasks/97656c80-67ad-4ac5-b616-e8afb1722dc5,19104,Coordinate placement of students with special needs into mainstream classes.,Core,105,07/2015,Incumbent
o_tasks/021a7cb8-eb4c-4d54-a485-e2c642f32834,19114,Interpret the results of standardized tests to determine students' strengths and areas of need.,Core,104,07/2015,Incumbent
o_tasks/e74590da-0106-459f-851a-fd76f228b060,19100,"Collaborate with other teachers or administrators to develop, evaluate, or revise kindergarten or elementary school programs.",Core,104,07/2015,Incumbent
o_tasks/03e440bc-ce84-4ad6-8d41-c14b2f38396a,19101,"Confer with other staff members to plan or schedule lessons promoting learning, following approved curricula.",Core,105,07/2015,Incumbent
o_tasks/d31b95b1-5255-43fd-a6ef-5b681eee88f3,19129,"Guide or counsel students with adjustment problems, academic problems, or special academic interests.",Core,103,07/2015,Incumbent
o_tasks/75a9358c-0360-40cc-9848-21892c8ef7fa,19119,"Plan or conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate.",Core,105,07/2015,Incumbent
o_tasks/903baa93-45d3-4439-9faf-ea619d495613,19133,Organize and display students' work in a manner appropriate for their perceptual skills.,Core,104,07/2015,Incumbent
o_tasks/35722075-70e0-4786-8e23-ce334fb35cf1,19122,"Prepare objectives, outlines, or other materials for courses of study following curriculum guidelines or school or state requirements.",Core,104,07/2015,Incumbent
o_tasks/95fca02b-83c1-4d42-b6b8-9eeb90d6c8d0,19135,Prepare assignments for teacher assistants or volunteers.,Core,105,07/2015,Incumbent
o_tasks/0d4b1174-0dc9-49f3-9760-3deddb7dcb71,19124,"Present information in audio-visual or interactive formats, using computers, televisions, audio-visual aids, or other equipment, materials, or technologies.",Core,105,07/2015,Incumbent
o_tasks/be15875c-0571-4624-b52b-cd304f671c2f,19111,Instruct and monitor students in the use and care of equipment or materials to prevent injuries and damage.,Core,104,07/2015,Incumbent
o_tasks/eeacc229-6704-4e06-8f08-5c5ebc597350,19099,Administer standardized ability and achievement tests to kindergarten or elementary students with special needs.,Core,105,07/2015,Incumbent
o_tasks/82b5d87b-c327-4d34-a3fc-1e474b9ba947,19127,"Attend professional meetings, educational conferences, or teacher training workshops to maintain or improve professional competence.",Core,105,07/2015,Incumbent
o_tasks/f2a80189-6a36-4efb-8724-f08711628991,19118,"Organize and supervise games or other recreational activities to promote physical, mental, or social development.",Core,105,07/2015,Incumbent
o_tasks/0a0a76e3-5bee-40be-badd-86c4b1a3173e,19128,"Control the inventory or distribution of classroom equipment, materials, or supplies.",Core,105,07/2015,Incumbent
o_tasks/75b7f629-996d-4140-a63d-a08379d8a9b9,19120,"Plan or supervise experiential learning activities, such as class projects, field trips, demonstrations, or visits by guest speakers.",Core,104,07/2015,Incumbent
o_tasks/11712a65-7685-447d-85dd-6ad3bd873112,19134,"Perform administrative duties, such as assisting in school libraries, hall or cafeteria monitoring, or bus loading or unloading.",Core,104,07/2015,Incumbent
o_tasks/b7129ab3-a6bd-4266-a393-2d0b798ffdde,19113,"Instruct students in daily living skills required for independent maintenance and self-sufficiency, such as hygiene, safety, or food preparation.",Supplemental,104,07/2015,Incumbent
o_tasks/e87e14ac-3ff0-43da-a8f0-e9e16119173a,19138,Visit schools to tutor students with sensory impairments or to consult with teachers regarding students' special needs.,Supplemental,104,07/2015,Incumbent
o_tasks/ae3fa198-369d-4000-85a3-bd3ff23ced38,19130,Interpret or transcribe classroom materials into Braille or sign language.,Supplemental,105,07/2015,Incumbent
o_tasks/94c2673b-3003-4528-ad5a-772084b42066,6744,Establish and enforce rules for behavior and policies and procedures to maintain order among students.,Core,92,08/2018,Incumbent
o_tasks/c762e7d1-d296-4f2d-9871-ee8e5b775739,6750,Modify the general education curriculum for special-needs students based upon a variety of instructional techniques and instructional technology.,Core,92,08/2018,Incumbent
o_tasks/fd7d4468-75c4-4b9f-9e76-8229befc44ba,21063,Develop or write Individualized Education Programs (IEPs) for students.,Core,93,08/2018,Incumbent
o_tasks/b6a93bcb-1f75-4f91-b095-d08697f24f55,6745,"Maintain accurate and complete student records, and prepare reports on children and activities, as required by laws, district policies, and administrative regulations.",Core,91,08/2018,Incumbent
o_tasks/02b34ff8-0228-4b77-90d3-5d15227c8162,6748,Develop and implement strategies to meet the needs of students with a variety of handicapping conditions.,Core,93,08/2018,Incumbent
o_tasks/83879539-a15b-42c3-b605-985a4a6e6308,6749,"Teach socially acceptable behavior, employing techniques such as behavior modification and positive reinforcement.",Core,89,08/2018,Incumbent
o_tasks/c6e7db6d-364d-4e49-82d8-cc61873281c4,6752,"Confer with parents or guardians, other teachers, counselors, and administrators to resolve students' behavioral and academic problems.",Core,93,08/2018,Incumbent
o_tasks/bf1c624c-bb22-4728-ba24-bec54c4d8a64,6747,"Confer with parents, administrators, testing specialists, social workers, and professionals to develop individual educational plans designed to promote students' educational, physical, and social development.",Core,89,08/2018,Incumbent
o_tasks/dc4a70d9-1182-4e03-9363-e2057069465c,6758,"Observe and evaluate students' performance, behavior, social development, and physical health.",Core,89,08/2018,Incumbent
o_tasks/167a0757-85d5-4edf-92e9-a86add1baa21,6751,"Employ special educational strategies and techniques during instruction to improve the development of sensory- and perceptual-motor skills, language, cognition, and memory.",Core,88,08/2018,Incumbent
o_tasks/4bdd71c5-3708-47f3-99ab-470e11aa1077,21064,Collaborate with other teachers that provide instruction to special education students to ensure that the students receive appropriate support.,Core,93,08/2018,Incumbent
o_tasks/b623ec61-1014-4051-8b92-52e4d8d4f9f8,6760,"Teach students personal development skills, such as goal setting, independence, and self-advocacy.",Core,92,08/2018,Incumbent
o_tasks/f77012d3-baab-4fe2-b34b-1dedc9661742,6761,"Plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate.",Core,93,08/2018,Incumbent
o_tasks/0197b0b1-874a-4269-af3e-44e5effa49db,6755,Meet with parents and guardians to discuss their children's progress and to determine priorities for their children and their resource needs.,Core,93,08/2018,Incumbent
o_tasks/9176a813-4324-4d26-b94f-9da3bbd1d7b1,6763,Monitor teachers and teacher assistants to ensure that they adhere to inclusive special education program requirements.,Core,93,08/2018,Incumbent
o_tasks/97c7a4b5-17b6-4512-ad45-8f7d0b7756cb,6746,Prepare materials and classrooms for class activities.,Core,88,08/2018,Incumbent
o_tasks/042a2543-3031-452c-9760-85c2a861e01c,6756,"Prepare, administer, and grade tests and assignments to evaluate students' progress.",Core,90,08/2018,Incumbent
o_tasks/5b3de810-96cd-432a-a247-e8f49ed1fb95,6754,Coordinate placement of students with special needs into mainstream classes.,Core,93,08/2018,Incumbent
o_tasks/33265245-cdae-4452-848a-f5d03be4ce67,6771,"Use computers, audio-visual aids, and other equipment and materials to supplement presentations.",Core,92,08/2018,Incumbent
o_tasks/be47d144-b640-45a5-9a23-8ae6cf340de5,6753,"Instruct through lectures, discussions, and demonstrations in one or more subjects, such as English, mathematics, or social studies.",Core,89,08/2018,Incumbent
o_tasks/dde48f37-ec9e-4707-9203-2fbb5d8ac7d7,6759,"Establish clear objectives for all lessons, units, and projects and communicate those objectives to students.",Core,92,08/2018,Incumbent
o_tasks/0ca0d7a9-78d4-479e-9c89-39bdf0891f8a,6757,"Guide and counsel students with adjustment or academic problems, or special academic interests.",Core,93,08/2018,Incumbent
o_tasks/1fbf111e-3658-4a19-879c-4f88cb095a52,6778,"Instruct students in daily living skills required for independent maintenance and self-sufficiency, such as hygiene, safety, and food preparation.",Core,92,08/2018,Incumbent
o_tasks/2e13549e-8161-4867-a2a4-76339949d91d,6767,"Confer with other staff members to plan and schedule lessons promoting learning, following approved curricula.",Core,93,08/2018,Incumbent
o_tasks/d48f4fb1-0e54-4b8d-94e5-54e73b996d57,6780,"Provide assistive devices, supportive technology, and assistance accessing facilities, such as restrooms.",Core,87,08/2018,Incumbent
o_tasks/ff2616ab-d5db-4af5-955e-f4bc2a790c55,6766,Meet with parents and guardians to provide guidance in using community resources and to teach skills for dealing with students' impairments.,Core,93,08/2018,Incumbent
o_tasks/8f001212-d95d-462f-96d8-4b22d7aa1ac5,6762,Prepare for assigned classes and show written evidence of preparation upon request of immediate supervisors.,Core,91,08/2018,Incumbent
o_tasks/6de5c72f-e6fc-4f92-8e7c-f95a27684a0c,6765,"Prepare objectives and outlines for courses of study, following curriculum guidelines or requirements of states and schools.",Core,86,08/2018,Incumbent
o_tasks/84eb8b2f-0e62-47ea-9238-1540154746d2,6772,"Attend professional meetings, educational conferences, and teacher training workshops to maintain and improve professional competence.",Core,91,08/2018,Incumbent
o_tasks/a9603331-d716-466f-bfff-1103ef5e0588,6764,Administer standardized ability and achievement tests and interpret results to determine students' strengths and areas of need.,Core,93,08/2018,Incumbent
o_tasks/1910bbf5-3503-4956-88bf-5c8a30797782,6769,Instruct and monitor students in the use and care of equipment and materials to prevent injuries and damage.,Core,93,08/2018,Incumbent
o_tasks/c77222f6-5ad2-4bf5-baf0-7c03beb5d0b2,6775,"Attend staff meetings and serve on committees, as required.",Core,89,08/2018,Incumbent
o_tasks/d17b1228-3733-4a9b-9308-47c03bf99777,6776,"Plan and supervise class projects, field trips, visits by guest speakers, or other experiential activities, and guide students in learning from those activities.",Core,88,08/2018,Incumbent
o_tasks/4f2726c3-d2c3-469c-966f-a9f1dd5b4416,6773,"Organize and supervise games and other recreational activities to promote physical, mental, and social development.",Core,88,08/2018,Incumbent
o_tasks/9c7d6f66-0122-4a23-9668-566c050c495a,6770,Organize and label materials and display students' work.,Core,93,08/2018,Incumbent
o_tasks/bc7f54de-9e1d-4c9b-bf16-bafe7304a6a7,6774,"Perform administrative duties, such as assisting in school libraries, hall and cafeteria monitoring, and bus loading and unloading.",Core,93,08/2018,Incumbent
o_tasks/5c531d70-ee17-452b-91bf-a043978b1d1c,6777,"Select, store, order, issue, and inventory classroom equipment, materials, and supplies.",Core,90,08/2018,Incumbent
o_tasks/cae466dc-e522-4638-8c3b-1bb43d55aeb6,6768,"Supervise, evaluate, and plan assignments for teacher assistants and volunteers.",Supplemental,88,08/2018,Incumbent
o_tasks/63925e22-15fe-40da-9ef1-29fc305c2fe3,6781,Provide additional instruction in vocational areas.,Supplemental,88,08/2018,Incumbent
o_tasks/6a9f4d14-3436-419a-812e-1334354e3247,6782,Visit schools to tutor students with sensory impairments and to consult with teachers regarding students' special needs.,Supplemental,92,08/2018,Incumbent
o_tasks/21125a17-33e2-433e-b9fa-5f4e7a804ac5,6795,Develop and implement strategies to meet the needs of students with a variety of handicapping conditions.,Core,115,08/2018,Incumbent
o_tasks/ca308531-9c96-49e6-b038-239a4b87febc,6802,"Observe and evaluate students' performance, behavior, social development, and physical health.",Core,117,08/2018,Incumbent
o_tasks/cc0aed53-c53f-4f5b-ae4d-20523f684a60,6787,Establish and enforce rules for behavior and policies and procedures to maintain order among students.,Core,116,08/2018,Incumbent
